codigo_postal,localidad,partido,provincia
2805,ARROYO PESQUERIA,Campana,Buenos Aires
2805,ARROYO TAJIBER,Campana,Buenos Aires
2805,ARROYO ZANJON,Campana,Buenos Aires
2804,BARRIO LAS ACACIAS (CAMPANA-PDO. CAMPANA),Campana,Buenos Aires
2804,BARRIO LUBO,Campana,Buenos Aires
2804,BARRIO VILLA NUEVA,Campana,Buenos Aires
2805,BLONDEAU,Campana,Buenos Aires
2804,CAMPANA,Campana,Buenos Aires
2805,CANAL LEANDRO N. ALEM. 1A. SECCION,Campana,Buenos Aires
2805,CANAL LEANDRO N. ALEM. 2A. SECCION,Campana,Buenos Aires
2804,EL FENIX,Campana,Buenos Aires
2804,KILOMETRO 88 (DESVIO PARTICULAR FCGM) (CAMPANA-PDO. CAMPANA),Campana,Buenos Aires
2805,LA HORQUETA (PDO. CAMPANA),Campana,Buenos Aires
2804,RUTA 9 KILOMETRO 72,Campana,Buenos Aires
1808,ALEJANDRO PETION (APEADERO FCGR),Canuelas,Buenos Aires
1814,BARRIO PRIMERO DE MAYO,Canuelas,Buenos Aires
1814,CAÑUELAS,Canuelas,Buenos Aires
1816,COLONIA SANTA ROSA,Canuelas,Buenos Aires
1815,ESCUELA AGRICOLA DON BOSCO,Canuelas,Buenos Aires
1808,FRANCISCO CASAL,Canuelas,Buenos Aires
1814,KILOMETRO 59 (APEADERO FCGR),Canuelas,Buenos Aires
1815,KILOMETRO 88 (APEADERO FCGR) (URIBELARREA-PDO. LOBOS),Canuelas,Buenos Aires
1814,LA GARITA,Canuelas,Buenos Aires
1814,LA NORIA,Canuelas,Buenos Aires
1816,LOS AROMOS,Canuelas,Buenos Aires
1812,MAXIMO PAZ,Canuelas,Buenos Aires
1816,RUTA 205 KILOMETRO 57,Canuelas,Buenos Aires
1816,RUTA 3 KILOMETRO 75,500,Canuelas,Buenos Aires
1815,URIBELARREA,Canuelas,Buenos Aires
1808,VICENTE CASARES,Canuelas,Buenos Aires
1816,VILLA ADRIANA,Canuelas,Buenos Aires
6531,ALGARROBO (COLONIA MAURICIO-PDO. CARLOS CASARES),Carlos Casares,Buenos Aires
6535,BELLOCQ,Carlos Casares,Buenos Aires
6535,CADRET,Carlos Casares,Buenos Aires
6530,CARLOS CASARES,Carlos Casares,Buenos Aires
6535,CENTENARIO,Carlos Casares,Buenos Aires
6531,COLONIA LA ESPERANZA,Carlos Casares,Buenos Aires
6531,COLONIA MAURICIO,Carlos Casares,Buenos Aires
6535,COLONIA SANTA MARIA,Carlos Casares,Buenos Aires
6537,EL CAMOATI,Carlos Casares,Buenos Aires
6537,EL CARPINCHO,Carlos Casares,Buenos Aires
6531,EL JABALI,Carlos Casares,Buenos Aires
6537,ESTANCIA SAN CLAUDIO,Carlos Casares,Buenos Aires
6531,GOBERNADOR ARIAS,Carlos Casares,Buenos Aires
6537,HORTENSIA,Carlos Casares,Buenos Aires
6538,LA DORITA,Carlos Casares,Buenos Aires
6535,LA SOFIA,Carlos Casares,Buenos Aires
6531,MAURICIO HIRSCH,Carlos Casares,Buenos Aires
6531,MOCTEZUMA,Carlos Casares,Buenos Aires
6537,ORDOQUI,Carlos Casares,Buenos Aires
