codigo_postal,localidad,partido,provincia
8109,Almirante Solier,Bahia Blanca,Buenos Aires
8109,Balneario (Parada),Bahia Blanca,Buenos Aires
8109,Barrio Ciudad Atlantida,Bahia Blanca,Buenos Aires
8109,Barrio El Castillo,Bahia Blanca,Buenos Aires
8109,Desvio Sandrini,Bahia Blanca,Buenos Aires
8109,Kilometro 652 (Apeadero Fcgr.),Bahia Blanca,Buenos Aires
8109,La Martina (Punta Alta, Pdo.Cnel.De Marina Leonardo Rosales),Bahia Blanca,Buenos Aires
8109,Pehuen Co,Bahia Blanca,Buenos Aires
8109,Punta Alta,Bahia Blanca,Buenos Aires
8109,Punta Alta Estafeta Nº1,Bahia Blanca,Buenos Aires
8109,Villa Del Mar,Bahia Blanca,Buenos Aires
8109,Villa Laura (Punta Alta, Pdo. Cnel. De Marina L. Rosales),Bahia Blanca,Buenos Aires
8109,Villa Maio,Bahia Blanca,Buenos Aires
8113,Baterias,Bahia Blanca,Buenos Aires
8118,Cabildo,Bahia Blanca,Buenos Aires
8118,Cabo Corrientes,Bahia Blanca,Buenos Aires
8118,Cochrane,Bahia Blanca,Buenos Aires
8118,Coronel Falcon,Bahia Blanca,Buenos Aires
8118,Corti,Bahia Blanca,Buenos Aires
8118,Estomba,Bahia Blanca,Buenos Aires
7620,Balcarce,Balcarce,Buenos Aires
7620,Bosch,Balcarce,Buenos Aires
7620,El Junco,Balcarce,Buenos Aires
7620,El Verano,Balcarce,Buenos Aires
7620,El Volante,Balcarce,Buenos Aires
7620,Haras Ojo De Agua,Balcarce,Buenos Aires
7620,La Brava,Balcarce,Buenos Aires
7620,La Para,Balcarce,Buenos Aires
7620,Laguna Brava,Balcarce,Buenos Aires
7620,Los Cardos,Balcarce,Buenos Aires
7621,La Sara (Ramos Otero, Pdo. Balcarce),Balcarce,Buenos Aires
7621,Ramos Otero,Balcarce,Buenos Aires
7621,Rincon De Baudrix,Balcarce,Buenos Aires
7621,San Simon,Balcarce,Buenos Aires
7623,Campo La Plata,Balcarce,Buenos Aires
7623,Campo Leite,Balcarce,Buenos Aires
7623,El Moro,Balcarce,Buenos Aires
7623,Las Nutrias,Balcarce,Buenos Aires
7623,Los Pinos (Pdo. Balcarce),Balcarce,Buenos Aires
7623,San Agustin,Balcarce,Buenos Aires
2761,Estancia Santa Catalina,Baradero,Buenos Aires
2761,Santa Coloma,Baradero,Buenos Aires
2761,Villa Lia,Baradero,Buenos Aires
2938,Alsina,Baradero,Buenos Aires
2942,Baradero,Baradero,Buenos Aires
2942,Estacion Baradero,Baradero,Buenos Aires
2943,Ireneo Portela,Baradero,Buenos Aires
7005,Azucena,Benito Juarez,Buenos Aires
7005,Barker,Benito Juarez,Buenos Aires
7005,Claraz,Benito Juarez,Buenos Aires
7005,Kilometro 404,Benito Juarez,Buenos Aires
7005,La Azucena,Benito Juarez,Buenos Aires
7005,La Negra,Benito Juarez,Buenos Aires
7005,Villa Cacique,Benito Juarez,Buenos Aires
7020,Barrio San Roque (Benito Juarez, Pdo.Benito Juarez),Benito Juarez,Buenos Aires
7020,Benito Juarez,Benito Juarez,Buenos Aires
7020,Caminera Juarez,Benito Juarez,Buenos Aires
7020,Chapar,Benito Juarez,Buenos Aires
7020,Estancia Chapar,Benito Juarez,Buenos Aires
7020,Haras El Cisne,Benito Juarez,Buenos Aires
7020,Juarez,Benito Juarez,Buenos Aires
7020,Molino Galileo,Benito Juarez,Buenos Aires
7020,Monte Crespo,Benito Juarez,Buenos Aires
7020,Pachan,Benito Juarez,Buenos Aires
7020,Parque Muñoz,Benito Juarez,Buenos Aires
7021,Alzaga,Benito Juarez,Buenos Aires
7021,Lopez,Benito Juarez,Buenos Aires
7021,Tedin Uriburu,Benito Juarez,Buenos Aires
1884,Barrio Centenario,Berazategui,Buenos Aires
1884,Barrio El Once,Berazategui,Buenos Aires
1884,Barrio General Belgrano (Berazategui, Pdo. Berazategui),Berazategui,Buenos Aires
1884,Barrio Jacaranda,Berazategui,Buenos Aires
1884,Barrio La Loma,Berazategui,Buenos Aires
1884,Barrio Los Manzanos,Berazategui,Buenos Aires
1884,Barrio Los Pinos (Berazategui, Pdo. Berazategui),Berazategui,Buenos Aires
1884,Barrio Los Troncos,Berazategui,Buenos Aires
1884,Barrio Luchetti,Berazategui,Buenos Aires
1884,Barrio Rayo De Sol (Berazategui, Pdo. Berazategui),Berazategui,Buenos Aires
1884,Barrio San Juan (Berazategui, Pdo.Berazategui),Berazategui,Buenos Aires
1884,Barrio San Roque (Berazategui, Pdo.Berazategui),Berazategui,Buenos Aires
1884,Berazategui,Berazategui,Buenos Aires
1884,Berazategui Estafeta No.1,Berazategui,Buenos Aires
1884,Berazategui Estafeta No.2,Berazategui,Buenos Aires
1884,Berazategui Estafeta No.3,Berazategui,Buenos Aires
1884,Berazategui Estafeta No.4,Berazategui,Buenos Aires
1884,Villa España,Berazategui,Buenos Aires
1884,Villa Julia,Berazategui,Buenos Aires
1884,Villa La Lucila,Berazategui,Buenos Aires
1884,Villa Lucila,Berazategui,Buenos Aires
1884,Villa Mitre,Berazategui,Buenos Aires
1884,Villa Olivero,Berazategui,Buenos Aires
1884,Villa San Francisco,Berazategui,Buenos Aires
1884,Villa Sol,Berazategui,Buenos Aires
1885,Barrio Sniafa,Berazategui,Buenos Aires
1885,Guillermo E. Hudson,Berazategui,Buenos Aires
1885,Los Manzanos,Berazategui,Buenos Aires
1885,Platanos,Berazategui,Buenos Aires
